Students age,Gender,Relationship status,Department,Type of University,Father's education,Mother's education,Father's Occupation,Mother's Occupation,Family Income(monthly),Number of Siblings,Parental status,Previous School Location,Previous College Location,SSC result,HSC result,Scholarship in SSC,Scholarship in HSC,Accommodation,Weekly Study Time at home,Reading Scientific books/articles/journals,Reading Non-Scientific books/articles/journals,Attendance in class,Mid-Term Exam Preparation,Taking Exam Preparation,Taking Class Note,Any Co-curricular activity,Attend any Seminar related to department,Any part-time job,Smoking,Sports/ Exercise,Undergraduate 1st semester result (CGPA/GPA out of 4)
21-23 years,Male,Single,EEE,Public,Secondary School,Primary School,Private Job,Housewife,"<25,000Tk",1,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,Rental,Less than 1 Hour,Yes,Yes,Less than 60% classes,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,2.75 - 2.99
24-26 years,Male,Single,Political Science ,Others,M.Sc/M.A.,M.Sc/M.A.,Govt. Service,Housewife,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Always,Yes,Yes,Not Applicable,Yes,Sometimes,2.50 - 2.74
18-20 years,Female,Single,Social Science ,Public,Secondary School,College,Business,Housewife,41000-55000TK,3 or above,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,6-10Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,Less than 2.50
18-20 years,Female,Single,BBA,Public,M.Sc/M.A.,M.Sc/M.A.,Business,Business,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,11-15 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Male,Single,Agriculture ,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,"26,000-40,000TK",No Siblings,Happily Married,Rural,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,With family,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Female,Single,Agriculture ,Public,B.A./B.Sc./Hons/Degree,College,Business,Housewife,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,Less than 1 Hour,No,No,60%-79% classes,Not applicable,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,Less than 2.50
18-20 years,Male,Single,Economics,Others,College,Secondary School,Retired,Housewife,"<25,000Tk",No Siblings,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,With family,2-5 Hour,Yes,Yes,Less than 60% classes,Alone,Close date to exam,Sometimes,Yes,Yes,Tution,Yes,Sometimes,2.50 - 2.74
21-23 years,Male,Single,Economics,Public,College,Secondary School,Retired,Housewife,"26,000-40,000TK",3 or above,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,11-14 Hour,Yes,No,More than 80%class,Group study,Regular study during the semester,Sometimes,No,No,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Male,In a love relationship,Mechanical & Chemical Engineering ,Public,College,College,Business,Housewife,"26,000-40,000TK",3 or above,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Never,2.75 - 2.99
21-23 years,Male,Single,Chemical Engineering ,Public,College,Secondary School,Retired,Housewife,"<25,000Tk",2,Happily Married,Country Town,Country Town,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,Rental,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Never,3.25 - 3.49
21-23 years,Male,Single,Political Science ,Others,M.Sc/M.A.,College,Govt. Service,Housewife,41000-55000TK,1,Happily Married,Rural,Country Town,GPA 5.00,GPA 5.00,Yes,No,Rental,2-5 Hour,Yes,Yes,More than 80%class,Group study,Regular study during the semester,Sometimes,Yes,Yes,Tution,No,Sometimes,3.50 - 3.74
21-23 years,Male,Single,CSE,Public,Secondary School,Secondary School,Retired,Housewife,"<25,000Tk",2,Died-one of them or both,Urban,Urban,GPA 5.00,GPA 5.00,No,Yes,University Hall,6-10Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Sometimes,No,Yes,Tution,No,Sometimes,3.75 - 4.00
18-20 years,Male,Single,Criminology ,Public,College,Secondary School,Business,Housewife,"26,000-40,000TK",3 or above,Happily Married,Urban,Urban,GPA 5.00,GPA 3.00 - 3.99,No,No,University Hall,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Never,Yes,No,Business,Yes,Never,3.00 - 3.24
21-23 years,Male,In a love relationship,Film & Media,Public,Primary School,Secondary School,Business,Housewife,"26,000-40,000TK",3 or above,Happily Married,Rural,Rural,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Group study,Regular study during the semester,Always,No,No,Not Applicable,No,Always,3.50 - 3.74
18-20 years,Female,In a love relationship,Social Science ,Others,Primary School,Primary School,Business,Housewife,"<25,000Tk",1,Happily Married,Urban,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
24-26 years,Male,Single,Hospitality & Tourism Management ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Govt. Service,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,Yes,No,University Hall,11-14 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
21-23 years,Male,Single,Criminology ,Public,College,Secondary School,Private Job,Housewife,"<25,000Tk",2,Happily Married,Urban,Country Town,GPA 5.00,GPA 5.00,Yes,Yes,Rental,Less than 1 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Always,No,Yes,Not Applicable,Yes,Sometimes,3.50 - 3.74
18-20 years,Female,Single,Film & Media,Public,B.A./B.Sc./Hons/Degree,College,Business,Business,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,Less than 1 Hour,No,No,60%-79% classes,Not applicable,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,Less than 2.50
24-26 years,Male,Single,CSE,Private,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Business,"26,000-40,000TK",1,Died-one of them or both,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,Less than 1 Hour,No,No,60%-79% classes,Group study,Close date to exam,Never,Yes,Yes,Not Applicable,No,Sometimes,2.75 - 2.99
21-23 years,Male,Single,Statistics ,Others,B.A./B.Sc./Hons/Degree,M.Sc/M.A.,Retired,Housewife,"<25,000Tk",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,Others,2-5 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Never,3.25 - 3.49
21-23 years,Female,In a love relationship,Civil Engineering ,Private,B.A./B.Sc./Hons/Degree,Primary School,Business,Housewife,"<25,000Tk",3 or above,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Others,Less than 1 Hour,No,Yes,Less than 60% classes,Not applicable,Close date to exam,Never,No,No,Others,No,Sometimes,2.75 - 2.99
24-26 years,Male,Single,CSE,Public,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,"26,000-40,000TK",3 or above,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,Less than 1 Hour,No,No,More than 80%class,Alone,Never,Never,No,No,Business,No,Never,3.50 - 3.74
21-23 years,Male,Single,Chemistry,Others,Secondary School,College,Business,Housewife,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,University Hall,2-5 Hour,No,No,60%-79% classes,Not applicable,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Sometimes,Less than 2.50
24-26 years,Male,Single,Cse,Public,College,College,Business,Housewife,41000-55000TK,2,Happily Married,Country Town,Country Town,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,Rental,2-5 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Female,In a love relationship,Education & Research,Public,M.Sc/M.A.,College,Govt. Service,Housewife,"<25,000Tk",1,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,Less than 1 Hour,No,No,More than 80%class,Alone,Close date to exam,Never,No,No,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Male,Single,EEE,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Private Job,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,Rental,6-10Hour,No,No,60%-79% classes,Not applicable,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Female,Single,Botany,Others,Secondary School,Secondary School,Business,Housewife,"<25,000Tk",3 or above,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,6-10Hour,Yes,No,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Always,3.50 - 3.74
21-23 years,Female,Single,ICT,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Govt. Service,41000-55000TK,1,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,No,No,Rental,6-10Hour,Yes,No,Less than 60% classes,Alone,Regular study during the semester,Sometimes,Yes,Yes,Not Applicable,Yes,Always,3.00 - 3.24
21-23 years,Male,Single,Math,Others,Primary School,Secondary School,Retired,Business,"<25,000Tk",No Siblings,Happily Married,Rural,Rural,GPA 5.00,GPA 5.00,No,No,Rental,2-5 Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Always,No,No,Not Applicable,No,Always,3.25 - 3.49
21-23 years,Female,Single,CSE,Private,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,More than 15 Hour,No,No,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Always,3.75 - 4.00
24-26 years,Male,In a love relationship,Management ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Housewife,"26,000-40,000TK",No Siblings,Happily Married,Urban,Urban,GPA 5.00,GPA 3.00 - 3.99,No,No,University Hall,2-5 Hour,Yes,Yes,60%-79% classes,Not applicable,Close date to exam,Sometimes,Yes,Yes,Others,No,Sometimes,2.75 - 2.99
18-20 years,Female,Single,BBA,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,"<25,000Tk",3 or above,Happily Married,Rural,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,2-5 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,2.75 - 2.99
18-20 years,Female,Single,Bangla,Others,M.Sc/M.A.,M.Sc/M.A.,Business,Housewife,"56000-60,000",2,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,6-10Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Male,Single,Textile,Others,M.Sc/M.A.,M.Sc/M.A.,Retired,Housewife,"<25,000Tk",1,Died-one of them or both,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,No,University Hall,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Never,No,No,Not Applicable,No,Always,3.00 - 3.24
18-20 years,Female,Single,CSE,Private,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,"26,000-40,000TK",1,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,6-10Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Male,Single,Pharmacy ,Private,College,Secondary School,Business,Housewife,"26,000-40,000TK",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,Rental,Less than 1 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Male,In a love relationship,Social Science ,Others,M.Sc/M.A.,Secondary School,Govt. Service,Housewife,"<25,000Tk",3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,Rental,2-5 Hour,Yes,No,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,2.50 - 2.74
18-20 years,Male,Single,BBA,Private,B.A./B.Sc./Hons/Degree,M.Sc/M.A.,Govt. Service,Govt. Service,41000-55000TK,3 or above,Happily Married,Country Town,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Always,Yes,Yes,Not Applicable,No,Never,3.00 - 3.24
24-26 years,Female,Single,CSE,Public,College,College,Business,Housewife,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,Less than 1 Hour,No,Yes,60%-79% classes,Alone,Never,Never,No,No,Not Applicable,No,Sometimes,Less than 2.50
18-20 years,Female,Single,Microbiology ,Public,College,College,Retired,Private Job,"<25,000Tk",1,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,6-10Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.00 - 3.24
18-20 years,Male,Single,bangla,Private,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Housewife,"<25,000Tk",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,No,University Hall,Less than 1 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
18-20 years,Female,Single,Cse,Others,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Private Job,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Always,3.75 - 4.00
21-23 years,Male,Single,EEE,Others,M.Sc/M.A.,M.Sc/M.A.,Business,Housewife,">60,000",No Siblings,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,Less than 1 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Male,In a love relationship,Social Science,Others,Primary School,Secondary School,Business,Housewife,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,6-10Hour,No,No,More than 80%class,Alone,Close date to exam,Always,Yes,No,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Female,Single,Textile Engineering ,Others,B.A./B.Sc./Hons/Degree,Secondary School,Retired,Housewife,41000-55000TK,2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,Less than 1 Hour,Yes,Yes,More than 80%class,Alone,Never,Never,Yes,No,Not Applicable,No,Never,3.00 - 3.24
21-23 years,Male,Single,EEE,Others,College,Secondary School,Business,Housewife,"56000-60,000",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,Rental,2-5 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Never,Yes,Yes,Business,Yes,Sometimes,3.75 - 4.00
21-23 years,Female,Single,BBA,Public,College,Secondary School,Business,Housewife,"56000-60,000",1,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,Rental,Less than 1 Hour,No,No,60%-79% classes,Alone,Close date to exam,Never,No,No,Not Applicable,No,Never,2.75 - 2.99
18-20 years,Female,Single,Political Science ,Private,Secondary School,Secondary School,Business,Housewife,">60,000",No Siblings,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 5.00,No,Yes,University Hall,2-5 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Tution,No,Sometimes,3.50 - 3.74
21-23 years,Male,Single,Law,Private,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,"26,000-40,000TK",3 or above,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,Less than 1 Hour,No,Yes,Less than 60% classes,Not applicable,Close date to exam,Sometimes,No,No,Business,No,Always,2.75 - 2.99
21-23 years,Male,Single,Mathematics ,Private,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Private Job,Private Job,"26,000-40,000TK",1,Happily Married,Urban,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,More than 15 Hour,No,No,60%-79% classes,Alone,Regular study during the semester,Sometimes,No,No,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Male,Single,Bangla,Others,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Business,41000-55000TK,2,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,2-5 Hour,No,No,60%-79% classes,Not applicable,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Female,Single,Economics ,Public,B.A./B.Sc./Hons/Degree,Secondary School,Govt. Service,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,2-5 Hour,No,Yes,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
18-20 years,Female,Single,Management ,Others,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Housewife,"56000-60,000",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,With family,6-10Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Always,No,No,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Male,Single,BBA,Others,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Business,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,Less than 1 Hour,No,No,60%-79% classes,Not applicable,Never,Never,No,Yes,Not Applicable,No,Sometimes,Less than 2.50
18-20 years,Male,Single,CSE,Others,M.Sc/M.A.,College,Business,Housewife,41000-55000TK,2,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,With family,Less than 1 Hour,No,No,More than 80%class,Alone,Close date to exam,Never,No,No,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Female,Married,Social Science ,Others,College,Secondary School,Business,Housewife,"<25,000Tk",2,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,11-14 Hour,No,Yes,60%-79% classes,Alone,Close date to exam,Always,No,No,Not Applicable,No,Never,3.25 - 3.49
18-20 years,Male,Single,EEE,Private,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,41000-55000TK,1,Happily Married,Rural,Rural,GPA 5.00,GPA 5.00,No,No,University Hall,More than 15 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Tution,No,Always,3.50 - 3.74
21-23 years,Female,In a love relationship,Environmental Science ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Retired,Housewife,"<25,000Tk",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,Others,Less than 1 Hour,No,No,More than 80%class,Alone,Close date to exam,Never,No,Yes,Not Applicable,No,Never,3.25 - 3.49
18-20 years,Female,Single,CSE,Private,Secondary School,Primary School,Private Job,Housewife,"<25,000Tk",2,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,6-10Hour,No,No,More than 80%class,Group study,Regular study during the semester,Sometimes,Yes,No,Not Applicable,No,Always,3.25 - 3.49
18-20 years,Female,Single,BBA,Private,College,Secondary School,Business,Housewife,"<25,000Tk",2,Happily Married,Rural,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Others,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,No,Yes,Tution,No,Sometimes,3.25 - 3.49
21-23 years,Male,Single,BBA,Private,Secondary School,Secondary School,Retired,Housewife,41000-55000TK,2,Died-one of them or both,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,University Hall,6-10Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Sometimes,Yes,Yes,Tution,No,Sometimes,3.75 - 4.00
18-20 years,Female,Single,Chemistry ,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Private Job,Private Job,41000-55000TK,1,Divorced,Urban,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,6-10Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,No,Not Applicable,Yes,Sometimes,2.75 - 2.99
21-23 years,Female,Single,Social Work,Public,B.A./B.Sc./Hons/Degree,M.Sc/M.A.,Private Job,Housewife,"56000-60,000",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,With family,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
18-20 years,Male,Single,Architecture ,Private,College,Secondary School,Business,Housewife,"26,000-40,000TK",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,More than 15 Hour,No,No,Less than 60% classes,Alone,Never,Never,Yes,Yes,Tution,Yes,Sometimes,3.75 - 4.00
18-20 years,Female,Single,Film & Media,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Housewife,"56000-60,000",2,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,Less than 1 Hour,No,Yes,60%-79% classes,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,2.75 - 2.99
24-26 years,Male,Single,Civil Engineering ,Public,M.Sc/M.A.,Secondary School,Business,Housewife,">60,000",2,Happily Married,Country Town,Country Town,GPA 4.00 - 4.99,GPA 5.00,No,No,With family,2-5 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,No,Others,No,Sometimes,3.00 - 3.24
21-23 years,Female,Single,Film and Media,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,Less than 1 Hour,No,No,More than 80%class,Alone,Close date to exam,Never,No,Yes,Others,Yes,Sometimes,3.50 - 3.74
21-23 years,Male,Single,CSE,Private,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,With family,Less than 1 Hour,No,Yes,60%-79% classes,Alone,Never,Never,No,Yes,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Male,Married,Political science ,Others,M.Sc/M.A.,M.Sc/M.A.,Govt. Service,Govt. Service,">60,000",2,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,Yes,Yes,Rental,6-10Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Others,No,Sometimes,3.75 - 4.00
21-23 years,Male,In a love relationship,Fisheries ,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,">60,000",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,University Hall,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Always,No,No,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Male,Single,Fisheries ,Public,Secondary School,Secondary School,Retired,Housewife,"<25,000Tk",2,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,Less than 1 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Never,2.75 - 2.99
21-23 years,Female,Single,Fisheries ,Public,M.Sc/M.A.,College,Private Job,Housewife,41000-55000TK,2,Happily Married,Country Town,Country Town,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,With family,Less than 1 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Never,No,Yes,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Male,Single,Fisheries ,Public,Primary School,Secondary School,Business,Housewife,"26,000-40,000TK",1,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,6-10Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Female,In a love relationship,Microbiology ,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Private Job,Private Job,"26,000-40,000TK",No Siblings,Happily Married,Urban,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,More than 15 Hour,No,No,60%-79% classes,Alone,Regular study during the semester,Sometimes,No,No,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Female,Single,Microbiology ,Public,M.Sc/M.A.,College,Retired,Housewife,"<25,000Tk",1,Happily Married,Urban,Urban,Less than 3.00,GPA 5.00,No,No,University Hall,2-5 Hour,Yes,No,More than 80%class,Group study,Close date to exam,Never,Yes,Yes,Not Applicable,No,Always,2.75 - 2.99
21-23 years,Male,Single,Microbiology ,Public,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,41000-55000TK,1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,Less than 1 Hour,No,Yes,More than 80%class,Not applicable,Close date to exam,Sometimes,Yes,No,Tution,No,Sometimes,3.50 - 3.74
18-20 years,Male,Single,Civil Engineering ,Private,B.A./B.Sc./Hons/Degree,College,Business,Housewife,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,Less than 1 Hour,No,Yes,60%-79% classes,Alone,Never,Never,No,Yes,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Female,Single,Hostory,Others,College,M.Sc/M.A.,Private Job,Govt. Service,"<25,000Tk",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Not applicable,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Female,Single,BBA,Private,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,">60,000",1,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,More than 15 Hour,Yes,Yes,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,No,Always,3.00 - 3.24
21-23 years,Male,In a love relationship,History,Others,B.A./B.Sc./Hons/Degree,College,Business,Housewife,41000-55000TK,3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Never,2.75 - 2.99
